店舗名,所在地区,住所（地名）,業種・カテゴリ,取扱品目
きっさこ,旧田辺地区,下屋敷町,飲食・宿泊,焼き菓子
キッチン コントレール,旧田辺地区,上芳養,飲食・宿泊,レストラン
キッチン ペル,旧田辺地区,東陽,飲食・宿泊,日替わりランチ
Restaurant Caravansarai,旧田辺地区,上芳養,飲食・宿泊,フランス料理店
グリル食菜 ギャレット,旧田辺地区,下屋敷町,飲食・宿泊,日替わりランチ
牛角 田辺店,旧田辺地区,明洋,飲食・宿泊,焼肉
銀ちろ 塔の内店,旧田辺地区,宝来町,飲食・宿泊,定食
銀ちろ 本店,旧田辺地区,湊,飲食・宿泊,定食
居酒屋 ぐぐっと,旧田辺地区,湊,飲食・宿泊,旬の魚料理
串よし,旧田辺地区,湊,飲食・宿泊,串揚げ
喫茶店 グッピー,旧田辺地区,上屋敷,飲食・宿泊,ランチ
焼肉 熊野,旧田辺地区,新庄町,飲食・宿泊,焼肉
